Format Version,1.23,Take Name,Take 2019-05-30 01.08.46 PM_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-05-30 01.17.24.067 PM,Total Frames in Take,25912,Total Exported Frames,25912,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
177,1.475000,0.020939,0.755167,-0.509691,0.411702,37.552612,16.054497,501.648529
178,1.483333,0.011727,0.747437,-0.516383,0.417790,37.692776,16.259699,501.774414
179,1.491667,0.003977,0.755693,-0.495789,0.427909,37.579571,16.627422,501.944733
180,1.500000,-0.011886,0.749523,-0.487309,0.447889,37.637272,16.858891,502.307648
181,1.508333,-0.008497,0.756432,-0.489558,0.433672,37.062111,17.195234,502.694794
182,1.516667,-0.438935,-0.267493,-0.770770,-0.376426,37.036156,18.085096,503.417969
183,1.525000,-0.014584,0.738485,-0.506119,0.445277,36.780796,17.463848,503.787140
184,1.533333,,,,,,,
185,1.541667,-0.026476,0.765108,-0.451888,0.457937,37.214233,18.374502,504.052826
186,1.550000,-0.023265,0.764210,-0.450256,0.461207,37.380188,18.445345,504.226746
187,1.558333,-0.016356,0.761594,-0.449611,0.466431,37.604462,18.456717,504.319672
188,1.566667,-0.015564,0.757509,-0.454322,0.468540,37.830235,18.412806,504.421997
189,1.575000,-0.009418,0.760051,-0.461056,0.457888,37.784561,18.232224,504.330963
190,1.583333,-0.005620,0.759061,-0.465795,0.454785,37.814690,18.152355,504.295959
191,1.591667,-0.004379,0.746091,-0.483606,0.457662,37.891724,17.825535,504.403442
192,1.600000,,,,,,,
193,1.608333,-0.017506,0.755798,-0.482206,0.442651,37.882301,17.677771,504.201233
194,1.616667,-0.003258,0.772047,-0.463507,0.434850,37.720253,17.887779,503.921692
195,1.625000,0.001513,0.773498,-0.467162,0.428320,37.553268,18.007124,503.887177
196,1.633333,,,,,,,
197,1.641667,,,,,,,
198,1.650000,-0.003389,0.779031,-0.473357,0.411135,36.988972,18.300430,503.872620
199,1.658333,0.012415,0.795615,-0.455803,0.398856,36.682911,18.782360,503.770935
200,1.666667,-0.015099,0.793942,-0.472948,0.381769,36.500622,18.685915,504.060699
201,1.675000,0.012608,0.810253,-0.442814,0.383728,36.387157,19.086849,503.609711
202,1.683333,0.013416,0.816465,-0.442600,0.370554,36.073822,18.925922,503.459229
203,1.691667,0.019788,0.816113,-0.466062,0.341107,35.648476,18.971783,503.472809
204,1.700000,0.017739,0.835632,-0.439655,0.328796,35.380276,19.164948,503.075592
205,1.708333,0.016959,0.846478,-0.434433,0.307337,35.055733,19.199394,502.865601
206,1.716667,0.028215,0.856404,-0.431427,0.282219,34.725300,19.223495,502.620117
207,1.725000,0.033773,0.865064,-0.428251,0.259085,34.312584,19.015125,502.265015
208,1.733333,0.034655,0.868455,-0.440219,0.225371,34.016491,18.680527,501.816498
209,1.741667,0.050607,0.868051,-0.446520,0.211058,33.873550,18.096144,501.472809
210,1.750000,0.050504,0.869682,-0.450873,0.194463,34.007675,17.559767,500.832703
211,1.758333,0.052901,0.868204,-0.458468,0.182296,34.083691,16.886879,500.201324
212,1.766667,0.057594,0.860307,-0.473275,0.180459,34.276234,16.113064,499.627502
213,1.775000,0.057879,0.853306,-0.488400,0.173162,34.174461,15.167165,498.926208
214,1.783333,0.062868,0.852442,-0.491356,0.167214,34.064587,14.603490,498.277008
215,1.791667,0.062808,0.847238,-0.500909,0.165324,33.633450,13.737653,497.658020
216,1.800000,,,,,,,
217,1.808333,0.056424,0.845510,-0.511022,0.144170,32.923977,13.134588,497.004425
218,1.816667,0.078329,0.834650,-0.529982,0.127837,32.439178,12.666495,496.890961
219,1.825000,0.073281,0.843250,-0.517578,0.125190,32.452488,12.573078,496.782166
220,1.833333,0.081163,0.845147,-0.513559,0.124083,32.510368,12.615088,496.530731
221,1.841667,0.101877,0.848486,-0.505128,0.120574,32.542179,12.346307,496.583710
222,1.850000,0.101914,0.841444,-0.519971,0.105905,32.725704,12.327787,496.468536
223,1.858333,0.106107,0.841078,-0.521019,0.099340,33.102562,12.469864,496.443756
224,1.866667,0.110202,0.857393,-0.489789,0.113314,33.024788,12.154037,496.377625
225,1.875000,0.119285,0.847659,-0.506209,0.104874,32.948532,11.943078,496.561096
226,1.883333,0.130579,0.838249,-0.520807,0.095123,33.053497,11.908618,496.643005
227,1.891667,0.131665,0.839701,-0.518408,0.093916,33.021809,11.801005,496.701874
228,1.900000,0.143917,0.836551,-0.521266,0.088039,33.004562,11.858225,496.749359
229,1.908333,0.141802,0.839245,-0.519188,0.077484,32.784592,11.926590,496.985291
230,1.916667,0.139290,0.844335,-0.512670,0.069765,32.524220,12.112064,497.188843
231,1.925000,,,,,,,
232,1.933333,0.147977,0.854634,-0.495163,0.050164,32.058632,12.783307,497.725494
233,1.941667,,,,,,,
234,1.950000,,,,,,,
235,1.958333,0.162102,0.868813,-0.467522,0.017635,31.696716,13.588513,498.348511
236,1.966667,0.169441,0.883733,-0.435521,0.025033,31.867424,13.886528,498.180450
237,1.975000,0.167473,0.872822,-0.458404,-0.000094,31.486612,13.711800,498.376831
238,1.983333,0.171255,0.872656,-0.457196,-0.010710,31.174627,13.718730,498.169983
239,1.991667,0.168932,0.874123,-0.455347,-0.005433,31.087797,13.501364,498.007568
240,2.000000,,,,,,,
241,2.008333,0.139386,0.878383,-0.457069,-0.010187,30.737326,13.573183,497.670502
242,2.016667,0.135912,0.869619,-0.473967,-0.025408,30.341759,13.859182,497.986877
243,2.025000,0.151869,0.884468,-0.440285,-0.028305,29.737503,14.309690,497.826965
244,2.033333,0.146316,0.890506,-0.429361,-0.035208,29.405991,14.715077,497.921509
245,2.041667,0.141765,0.896917,-0.417037,-0.039034,29.067240,15.030493,497.980591
246,2.050000,0.140254,0.898977,-0.412239,-0.047199,29.056177,15.465013,497.910797
247,2.058333,0.139292,0.900140,-0.409338,-0.052814,28.979120,15.535901,497.748993
248,2.066667,0.140786,0.899925,-0.408413,-0.059276,28.977087,15.467108,497.379700
249,2.075000,0.146348,0.900152,-0.406382,-0.056234,28.807556,15.055362,496.944611
250,2.083333,0.148441,0.894021,-0.418368,-0.060493,28.777031,14.821336,496.509827
251,2.091667,0.132662,0.884861,-0.440813,-0.071456,28.658899,14.563534,496.201080
252,2.100000,0.132843,0.885404,-0.440171,-0.068274,28.480560,14.418888,495.838013
253,2.108333,0.138067,0.888128,-0.433496,-0.065176,28.144928,14.380251,495.527283
254,2.116667,0.135183,0.886687,-0.436348,-0.071503,27.808111,14.427532,495.357910
255,2.125000,,,,,,,
256,2.133333,0.116798,0.888926,-0.436471,-0.075249,27.360189,14.794692,495.001556
257,2.141667,0.114508,0.892224,-0.431319,-0.069198,27.286991,15.001826,494.770325
258,2.150000,0.111965,0.893294,-0.430724,-0.062975,27.395233,15.047709,494.501007
259,2.158333,0.106124,0.888391,-0.442041,-0.064019,27.594599,14.899646,494.153015
260,2.166667,0.105139,0.885531,-0.447521,-0.067124,27.799797,14.679662,493.742096
261,2.175000,0.115907,0.871706,-0.471645,-0.065160,27.933132,14.250056,493.633972
262,2.183333,0.127695,0.886517,-0.441554,-0.053031,28.103790,14.205590,493.030396
263,2.191667,,,,,,,
264,2.200000,0.134639,0.890836,-0.431122,-0.049173,28.145748,14.519353,492.802368
265,2.208333,0.126575,0.896140,-0.424233,-0.030628,28.293653,14.673068,492.881683
266,2.216667,0.113542,0.897656,-0.424856,-0.028632,28.402763,15.275517,492.985382
267,2.225000,0.106474,0.903290,-0.415174,-0.019012,28.493128,15.694753,493.095886
268,2.233333,0.075508,0.908903,-0.409549,-0.021514,28.592339,16.075012,492.973938
269,2.241667,0.092092,0.913411,-0.396482,-0.001477,28.930685,16.217510,492.984344
270,2.250000,0.105967,0.909728,-0.401369,0.008288,29.117035,15.974893,492.862549
271,2.258333,0.112121,0.904912,-0.410415,0.011068,29.554096,15.732487,492.440033
272,2.266667,0.114940,0.901648,-0.416762,0.011381,29.866917,15.314606,491.951904
273,2.275000,0.106662,0.900882,-0.420531,0.013745,30.168491,14.893929,491.502014
274,2.283333,0.114965,0.892776,-0.435300,0.015771,30.143923,14.507060,491.190491
275,2.291667,0.106373,0.892296,-0.438076,0.024119,30.087849,14.361771,491.022003
276,2.300000,0.124146,0.898474,-0.420570,0.021295,29.965454,15.065373,490.803284
277,2.308333,0.092415,0.895346,-0.432703,0.050831,30.035273,14.552203,490.927643
278,2.316667,0.097751,0.885321,-0.452828,0.039968,30.159945,15.062419,490.968170
279,2.325000,0.059562,0.890728,-0.445784,0.065829,30.554094,14.894149,490.547943
280,2.333333,0.080684,0.886827,-0.446203,0.089052,30.792213,14.494012,490.400208
281,2.341667,0.057239,0.881077,-0.461787,0.084737,31.259033,14.165090,489.900269
282,2.350000,0.083856,0.875597,-0.465058,0.100099,31.691288,13.575236,489.697357
283,2.358333,0.076151,0.869091,-0.478886,0.097723,32.145027,13.161572,489.419403
284,2.366667,,,,,,,
285,2.375000,0.086871,0.861649,-0.490897,0.095055,32.423080,12.688498,489.435059
286,2.383333,0.076845,0.868190,-0.481170,0.093893,32.546459,12.918186,489.598236
287,2.391667,0.085024,0.865639,-0.481996,0.105449,32.670273,13.235129,489.903625
288,2.400000,0.064309,0.870639,-0.471863,0.123275,33.046730,13.520011,490.049377
289,2.408333,0.075444,0.867559,-0.474247,0.129382,33.253139,13.790801,490.315063
290,2.416667,0.061574,0.869680,-0.470616,0.135596,33.874706,14.035633,490.422577
291,2.425000,0.070730,0.862627,-0.480311,0.142033,34.312759,13.944192,490.558197
292,2.433333,0.066776,0.860880,-0.480249,0.154229,34.820168,13.546761,490.363068
